round_id,coder_id,handle,attended,num_submissions,point_total,provisional_placed,system_point_total,placed,rated_ind,old_rating,new_rating,num_ratings,duration,first_submission_time,last_submission_time,prov_score_norm,fin_score_norm,old_rating_norm,prov_rank_norm,fin_rank_norm,old_rating_rank_norm,submission_freq,predictability_prov,predictability_fin,predictability_norm_score,new_minus_old_rating,dev_from_predicted_prov,dev_from_predicted_fin,prov_score_norm_distance,fin_score_norm_distance,num_nonmissing_prov,num_nonmissing_fin,num_nonmissing_numsubmissions,num_nonmissing_oldrating,num_prev_ratings,first_complexity,last_complexity,num_nonmissing_firstcomp,num_nonmissing_lastcomp,first_submission_lines,sum_insertions,sum_code_lines,last_submission_lines,num_nonmissing_sumcodelines,newcomer_x,num_contestants,contestant_registrant_ratio,average_experience,engagement_barrier,scoring_complexity,provisional_testing,task_type,target,improve,scoring_type,stratum,submission_chars,problem_id,language_id,newcomer_y,registration_time,submission_time,length_submission_period,first_complexity_est,last_complexity_est
11136,10039742,AnonnymousT,Y,25,67.21,7.0,282.11,28.0,1,1143.0,1225.0,11,335.0,0.17678441127694858,0.8678242122719735,0.8707086410156756,0.7707712904019016,0.5849539406345957,0.9548872180451128,0.7969924812030075,0.4,0.0746268656716417,0.4451127819548872,0.6030075187969925,0.7142452996189201,82.0,0.5548872180451128,0.3969924812030074,0.1292913589843244,0.2292287095980983,133,133,133,95,10,97.0,185.0,123.0,123.0,315.0,3213.0,3528.0,526.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,10115.0,8671.0,Java,0,0.1766028192371476,0.17678441127694858,0.6910398009950249,97.0,185.0
11136,10435514,synne,Y,19,62.03,17.0,287.96,21.0,1,926.0,1118.0,4,335.0,0.008635986733001658,0.7796973466003316,0.8036015027853349,0.7867544602606485,0.4738996929375639,0.8796992481203008,0.849624060150376,0.0947368421052631,0.0567164179104477,0.2150375939849623,0.2451127819548871,0.670298190152229,192.0,0.7849624060150376,0.7548872180451128,0.196398497214665,0.2132455397393514,133,133,133,95,3,71.0,153.0,123.0,123.0,316.0,1322.0,1638.0,645.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,9629.0,8671.0,C#,0,0.008628524046434494,0.008635986733001658,0.7710613598673299,71.0,153.0
11136,16058913,siara,Y,10,54.85,44.0,243.95,68.0,1,1399.0,1356.0,10,335.0,0.009155887230514095,0.34735157545605305,0.7105842725741677,0.6665118439386902,0.7159672466734903,0.6766917293233082,0.4962406015037593,0.7263157894736842,0.0298507462686567,0.950375939849624,0.7699248120300751,0.9946170259006774,-43.0,-0.049624060150376,-0.2300751879699248,0.2894157274258323,0.3334881560613097,133,133,133,95,9,71.0,163.0,123.0,123.0,95.0,289.0,384.0,314.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,2681.0,8671.0,C++,0,-0.000884742951907131,0.009155887230514095,0.33819568822553897,71.0,163.0
11136,19841837,cpphamza,Y,16,59.36,24.0,265.46,36.0,1,1351.0,1378.0,8,335.0,0.05702404643449419,0.91168407960199,0.7690115299909315,0.7252807300346985,0.6914022517911975,0.8270676691729323,0.7368421052631579,0.6631578947368421,0.0477611940298507,0.8360902255639098,0.9263157894736842,0.922390721800266,27.0,0.1639097744360902,0.0736842105263158,0.2309884700090685,0.2747192699653015,133,133,133,95,7,28.0,105.0,123.0,123.0,41.0,2318.0,2359.0,270.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,1377.0,8671.0,Java,0,0.05104809286898839,0.05702404643449419,0.8546600331674958,28.0,105.0
11136,20994662,baseballnut,Y,7,54.4,46.0,261.2,39.0,1,1162.0,1214.0,27,335.0,0.12604311774461027,0.996936152570481,0.7047545018784817,0.7136417037785853,0.5946775844421699,0.6616541353383458,0.7142857142857143,0.4421052631578947,0.0208955223880597,0.780451127819549,0.7278195488721804,0.8899230825636882,52.0,0.2195488721804511,0.2721804511278196,0.2952454981215183,0.2863582962214147,133,133,133,95,26,70.0,278.0,123.0,123.0,338.0,1090.0,1428.0,1206.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,8901.0,8671.0,Java,0,0.0567106135986733,0.12604311774461027,0.8708930348258707,70.0,278.0
11136,21990198,alecn2002,Y,4,35.0,117.0,165.03,119.0,1,866.0,827.0,17,335.0,0.0715,0.2222910447761194,0.4534266096644643,0.4508893199639354,0.443193449334698,0.1278195488721804,0.112781954887218,0.0631578947368421,0.0119402985074626,0.9353383458646616,0.950375939849624,0.9897668396702336,-39.0,0.0646616541353383,0.0496240601503759,0.5465733903355356,0.5491106800360646,133,133,133,95,16,37.0,134.0,123.0,123.0,124.0,341.0,465.0,385.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,3755.0,8671.0,C++,0,0.07111276948590381,0.0715,0.15079104477611943,37.0,134.0
11136,22635428,tstan436,Y,14,57.76,31.0,287.75,22.0,1,1145.0,1245.0,12,335.0,0.24019402985074628,0.9679800995024875,0.7482834564062703,0.7861807054452065,0.5859774820880246,0.7744360902255639,0.8421052631578947,0.4105263157894737,0.0417910447761194,0.6360902255639098,0.5684210526315789,0.8376940256817543,100.0,0.3639097744360902,0.431578947368421,0.2517165435937297,0.2138192945547935,133,133,133,95,11,48.0,66.0,123.0,123.0,183.0,266.0,449.0,286.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,5678.0,8671.0,Java,0,0.03934162520729685,0.24019402985074628,0.7277860696517413,48.0,66.0
11136,22660509,Kerzenlicht,Y,12,57.48,32.0,247.59,57.0,1,1237.0,1251.0,3,335.0,0.06607960199004975,0.9883532338308457,0.7446560435289545,0.676456927406355,0.6330603889457523,0.7669172932330827,0.5789473684210527,0.5263157894736842,0.035820895522388,0.7593984962406015,0.9473684210526316,0.8884043454167978,14.0,0.2406015037593984,0.0526315789473684,0.2553439564710454,0.323543072593645,133,133,133,95,2,,,123.0,123.0,,,,,,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,,8671.0,Python,0,0.058009121061359865,0.06607960199004975,0.922273631840796,,
11136,22675206,edunov,Y,3,59.58,23.0,283.24,24.0,1,1339.0,1405.0,7,335.0,0.10348341625207297,0.845360696517413,0.7718616401088224,0.7738586377421383,0.6852610030706243,0.8345864661654135,0.8270676691729323,0.631578947368421,0.008955223880597,0.7969924812030075,0.8045112781954887,0.913399362961802,66.0,0.2030075187969925,0.1954887218045112,0.2281383598911776,0.2261413622578617,133,133,133,95,6,48.0,203.0,123.0,123.0,114.0,440.0,554.0,443.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,3816.0,8671.0,Java,0,0.10335820895522388,0.10348341625207297,0.74187728026534,48.0,203.0
11136,22694152,rugila,Y,4,55.31,41.0,245.12,65.0,1,1541.0,1467.0,8,335.0,0.05869485903814262,0.9993200663349917,0.7165435937297578,0.6697084779104396,0.7886386898669396,0.6992481203007519,0.518796992481203,0.8210526315789474,0.0119402985074626,0.8781954887218045,0.6977443609022557,0.9279049038628182,-74.0,-0.1218045112781954,-0.3022556390977443,0.2834564062702421,0.3302915220895603,133,133,133,95,7,40.0,223.0,123.0,123.0,104.0,615.0,719.0,641.0,123.0,False,146,0.4818481848184818,5.041095890410959,2.0,1.0,Shared,Strategy,Quality,No,Absolute,4.0,2821.0,8671.0,Java,0,0.058602819237147594,0.05869485903814262,0.9406252072968491,40.0,223.0
