"ProblemID","RoundID","FirstPosSubTime","LastPosSubTime"
6058,9881,3347802057,3349011491
6088,9892,3349622987,3350825847
6164,9958,3352038115,3353327968
6217,9974,3354454603,3355660722
6525,10083,3359301237,3360498879
6383,10019,3356895291,3358173291
6377,10015,3356265862,3356870305
6518,10082,3358688669,3359289585
6563,10086,3361710374,3362313450
6595,10087,3362319506,3363523145
6550,10088,3364136300,3364747110
6592,10089,3364742115,3365942195
6686,10101,3366562518,3367151816
6727,10105,3367173842,3368375960
6759,10118,3369658586,3370175061
6733,10123,3370182579,3371389145
6858,10128,3371394127,3371990619
6878,10649,3372601651,3373894771
6732,10678,3374415098,3375017965
7297,10681,3375032459,3376227429
5959,9874,3343656380,3344259522
7545,10732,3383482819,3384086400
7328,10692,3378055648,3379251531
6717,10685,3376848157,3377436683
7430,10696,3379267927,3379856208
7478,10704,3380465393,3381670769
7548,10723,3382316947,3382876010
7548,10722,3382282618,3382876782
8708,12166,3414340469,3415622390
8472,12198,3416186332,3416745482
9906,13564,3428237348,3428841529
8747,12199,3417370063,3417955044
8604,12200,3418602550,3419164469
8816,12020,3419599557,3419626064
9714,12167,3420379521,3421583949
9795,12201,3422190554,3422793506
10014,13565,3429468219,3430051118
10056,13566,3430672843,3431260661
10043,13636,3430057923,3431260486
10202,13722,3438619908,3439817955
10119,13567,3433083492,3433679889
10147,13568,3434288189,3434889374
10201,13569,3436128681,3436707496
10227,13570,3437316906,3437917150
10242,13679,3437953396,3438522000
9798,12202,3423226622,3423830369
8737,12203,3425213865,3425817457
9763,13499,3421758660,3424435190
9888,12204,3426445627,3427631967
10276,13680,3439757794,3440336359
10032,13709,3442762335,3443965192
10293,13681,3440959896,3442150764
10313,13754,3443879049,3445001883
10322,13766,3444572827,3445174802
10576,13934,3459171920,3460381160
10322,13710,3444618024,3445168943
10357,13767,3445777828,3446380802
10357,13786,3445787732,3446380722
10639,13956,3461715872,3461849780
10644,13957,3461952742,3462886754
10621,13953,3461098122,3462281591
10655,13964,3463414507,3464614783
10680,14002,3466492042,3467205020
10680,14003,3466791103,3467204297
10680,14004,3466521422,3467209668
10680,14005,3466597620,3467202083
10680,14006,3466550519,3467210241
10680,14007,3466442877,3467194817
10680,14008,3466697729,3467210404
10680,14009,3466630053,3467208304
10680,14010,3466393986,3467210351
10680,14011,3466438341,3467210311
10680,14012,3466440300,3467205879
10680,14013,3466399012,3467210306
10680,14060,3466451673,3467208681
10680,14014,3466420018,3467210336
10680,14015,3466478776,3467209775
10680,14016,3466790672,3467149266
10680,14017,3466695228,3467209858
10680,14019,3466425041,3467198678
10680,14021,3466383105,3467201819
10680,14024,3466678167,3466910582
10680,14025,3466740190,3467053129
10680,14026,3466530354,3467133106
10680,14027,3466498900,3467202402
10680,14028,3467161115,3467210010
10680,14030,3466879089,3467056834
10680,14031,3466636389,3466805827
10680,14032,3466425213,3467210392
10680,14033,3466688962,3466870794
10680,14036,3466925639,3467181308
10680,14037,3467058297,3467206392
10680,14038,3466681260,3467178806
10680,14041,3466416061,3466966082
10680,14044,3466407358,3467209089
10680,14045,3466363842,3466624098
10680,14046,3466626431,3467209938
10680,14047,3466397537,3467206384
10680,14048,3466393915,3467202495
10680,14049,3467087724,3467181501
10680,14050,3466410156,3466746371
10680,14051,3466775767,3467210359
10680,14054,3466643960,3467195864
10680,14055,3466663341,3467208493
10680,14056,3466480051,3467134612
10680,14058,3466496179,3467198177
10680,14059,3466360839,3467144964
10680,14061,3466448406,3467111959
10680,14062,3466435698,3467210251
10680,14063,3466486566,3467209007
10680,14064,3466670518,3467207813
10680,14065,3466601576,3467210239
10680,14067,3466432177,3467210024
10680,14068,3466437467,3467196917
10680,14069,3466490580,3467206673
10680,14070,3466414742,3467208949
