"round_id","coder_id","handle","point_total","num_submissions","attended","system_point_total","placed","old_rating","new_rating","old_vol","new_vol","rated_ind","advanced","provisional_placed","num_ratings"
9874,20178351,"BartoszO","",0,"N","","","","","","",0,"N","",0
9874,266485,"meragrin","",0,"N","","","","","","",0,"N","",0
9874,15216227,"Mr_rachvela","",0,"N","","","","","","",0,"N","",0
9874,14940443,"finrod","",0,"N","","","","","","",0,"N","",0
9874,8533229,"marcinEc","",0,"N","","","","","","",0,"N","",0
9874,14789404,"matiasg","",0,"N","","","","","","",0,"N","",0
9874,10254716,"aboyner","",0,"N","","","","","","",0,"N","",0
9874,7360309,"dmks","",0,"N","","","","","","",0,"N","",0
9874,15160902,"camesvoliaj","",0,"N","","","","","","",0,"N","",0
9874,12000454,"Ronq","",0,"N","","","","","","",0,"N","",0
9874,9937693,"shafir","",0,"N","","","","","","",0,"N","",0
9874,20206215,"jerry.t","",0,"N","","","","","","",0,"N","",0
9874,11904663,"Javi","",0,"N","","","","","","",0,"N","",0
9874,11789817,"L","",0,"N","","","","","","",0,"N","",0
9874,11909635,"Breusov","",0,"N","","","","","","",0,"N","",0
9874,20145987,"Spuu","",0,"N","","","","","","",0,"N","",0
9874,14822038,"Nikaustr","",0,"N","","","","","","",0,"N","",0
9874,14974322,"ongulance","",0,"N","","","","","","",0,"N","",0
9874,15491527,"deepaganesh","",0,"N","","","","","","",0,"N","",0
9874,11787671,"Protean","",0,"N","","","","","","",0,"N","",0
9874,7445483,"BradAustin",49.76,50,"Y",49.76,1,"","","","",0,"N",1,0
9874,272072,"SnapDragon",49.69,7,"Y",49.69,2,"","","","",0,"N",2,0
9874,7488783,"lyc1977",48.86,22,"Y",48.86,3,"","","","",0,"N",3,0
9874,274023,"venco",48.48,31,"Y",48.48,4,"","","","",0,"N",4,0
9874,277659,"radeye",48,6,"Y",48,5,"","","","",0,"N",5,0
9874,11854576,"maniek",47.54,11,"Y",47.54,6,"","","","",0,"N",6,0
9874,15500323,"saintila",47.49,6,"Y",47.49,7,"","","","",0,"N",7,0
9874,10489620,"patrickriva",47.4,7,"Y",47.4,8,"","","","",0,"N",8,0
9874,297823,"madking",47.31,11,"Y",47.31,9,"","","","",0,"N",9,0
9874,15094447,"halyavin",47.21,21,"Y",47.21,10,"","","","",0,"N",10,0
9874,154619,"hilfiger",47.06,31,"Y",47.06,11,"","","","",0,"N",11,0
9874,9998788,"athenachu71",46.99,5,"Y",46.99,12,"","","","",0,"N",12,0
9874,8527113,"Krzysan",46.84,34,"Y",46.84,13,"","","","",0,"N",13,0
9874,7472513,"szd714",46.67,6,"Y",46.67,14,"","","","",0,"N",14,0
9874,8358583,"dispanser",46.6,10,"Y",46.6,15,"","","","",0,"N",15,0
9874,8394868,"rem",46.53,7,"Y",46.53,16,"","","","",0,"N",16,0
9874,347429,"xs0",46.46,7,"Y",46.46,17,"","","","",0,"N",17,0
9874,7504863,"battyone",46.44,7,"Y",46.44,18,"","","","",0,"N",18,0
9874,14970299,"Egor",46.43,15,"Y",46.43,19,"","","","",0,"N",19,0
9874,251074,"bmerry",46.43,14,"Y",46.43,19,"","","","",0,"N",19,0
9874,7453062,"mcphee",46.24,4,"Y",46.24,21,"","","","",0,"N",21,0
9874,7394165,"PaulJefferys",46.21,12,"Y",46.21,22,"","","","",0,"N",22,0
9874,10603164,"sheiech",46.13,12,"Y",46.13,23,"","","","",0,"N",23,0
9874,7364893,"rgrig",45.9,5,"Y",45.9,24,"","","","",0,"N",24,0
9874,282574,"maikuru",45.87,23,"Y",45.87,25,"","","","",0,"N",25,0
9874,107835,"sjelkjd",45.84,14,"Y",45.84,26,"","","","",0,"N",26,0
9874,262936,"dgarthur",45.83,1,"Y",45.83,27,"","","","",0,"N",27,0
9874,10688304,"tolkienfan",45.56,19,"Y",45.56,28,"","","","",0,"N",28,0
9874,8384080,"gorath",45.47,5,"Y",45.47,29,"","","","",0,"N",29,0
9874,293390,"Jumping John",45.38,11,"Y",45.38,30,"","","","",0,"N",30,0
9874,11789293,"nhzp339",45.37,10,"Y",45.37,31,"","","","",0,"N",31,0
9874,7462740,"ploh",45.28,2,"Y",45.28,32,"","","","",0,"N",32,0
9874,302928,"MagicZhang",45.21,9,"Y",45.21,33,"","","","",0,"N",33,0
9874,20179203,"JRR",45.15,4,"Y",45.15,34,"","","","",0,"N",34,0
9874,159100,"Googly",45.06,2,"Y",45.06,35,"","","","",0,"N",35,0
9874,307060,"AdrianKuegel",45.01,79,"Y",45.01,36,"","","","",0,"N",36,0
9874,15092597,"LynValente",44.78,12,"Y",44.78,37,"","","","",0,"N",37,0
9874,14982917,"zhchong",44.7,9,"Y",44.7,38,"","","","",0,"N",38,0
9874,10574855,"Petr",44.44,5,"Y",44.44,39,"","","","",0,"N",39,0
9874,10497676,"edx",44.39,7,"Y",44.39,40,"","","","",0,"N",40,0
9874,15695228,"mongo63",44.15,18,"Y",44.15,41,"","","","",0,"N",41,0
9874,10383564,"ccuz",44.13,4,"Y",44.13,42,"","","","",0,"N",42,0
9874,10425804,"maone",44.12,28,"Y",44.12,43,"","","","",0,"N",43,0
9874,10532080,"danielb",43.97,11,"Y",43.97,44,"","","","",0,"N",44,0
9874,11797255,"aubergineanode",43.92,9,"Y",43.92,45,"","","","",0,"N",45,0
9874,7500626,"yanivinbar",43.9,8,"Y",43.9,46,"","","","",0,"N",46,0
9874,10428762,"HiltonLange",43.9,16,"Y",43.9,46,"","","","",0,"N",46,0
9874,14900747,"Titoz",43.89,6,"Y",43.89,48,"","","","",0,"N",48,0
9874,14864900,"neo_bd",43.85,17,"Y",43.85,49,"","","","",0,"N",49,0
9874,16151145,"Sobol",43.82,6,"Y",43.82,50,"","","","",0,"N",50,0
9874,309453,"Jan_Kuipers",43.82,1,"Y",43.82,50,"","","","",0,"N",50,0
9874,9953294,"andro",43.81,11,"Y",43.81,52,"","","","",0,"N",52,0
9874,7452866,"Im2Good",43.81,1,"Y",43.81,52,"","","","",0,"N",52,0
9874,15600311,"WSX",43.81,8,"Y",43.81,52,"","","","",0,"N",52,0
9874,7421158,"Per",43.81,7,"Y",43.81,52,"","","","",0,"N",52,0
9874,20092525,"tstranex",43.81,4,"Y",43.81,52,"","","","",0,"N",52,0
9874,282718,"Rustyoldman",43.81,24,"Y",43.81,52,"","","","",0,"N",52,0
9874,8357090,"misof",43.8,13,"Y",43.8,58,"","","","",0,"N",58,0
9874,287266,"jms137",43.74,3,"Y",43.74,59,"","","","",0,"N",59,0
9874,9941146,"janos",43.74,10,"Y",43.74,59,"","","","",0,"N",59,0
9874,7485898,"Andrew_Lazarev",43.73,12,"Y",43.73,61,"","","","",0,"N",61,0
9874,7436178,"AmirS",43.73,7,"Y",43.73,61,"","","","",0,"N",61,0
9874,7213681,"wleite",43.72,12,"Y",43.72,63,"","","","",0,"N",63,0
9874,15499908,"qwest4code",43.63,5,"Y",43.63,64,"","","","",0,"N",64,0
9874,9958600,"Zis",43.63,2,"Y",43.63,64,"","","","",0,"N",64,0
9874,10233638,"goldendf",43.34,9,"Y",43.34,66,"","","","",0,"N",66,0
9874,269991,"yasha",43.29,22,"Y",43.29,67,"","","","",0,"N",67,0
