round_id,coder_id,handle,attended,num_submissions,point_total,provisional_placed,system_point_total,placed,rated_ind,old_rating,new_rating,num_ratings,duration,first_submission_time,last_submission_time,prov_score_norm,fin_score_norm,old_rating_norm,prov_rank_norm,fin_rank_norm,old_rating_rank_norm,submission_freq,predictability_prov,predictability_fin,predictability_norm_score,new_minus_old_rating,dev_from_predicted_prov,dev_from_predicted_fin,prov_score_norm_distance,fin_score_norm_distance,num_nonmissing_prov,num_nonmissing_fin,num_nonmissing_numsubmissions,num_nonmissing_oldrating,num_prev_ratings,first_complexity,last_complexity,num_nonmissing_firstcomp,num_nonmissing_lastcomp,first_submission_lines,sum_insertions,sum_code_lines,last_submission_lines,num_nonmissing_sumcodelines,newcomer,num_contestants,contestant_registrant_ratio,average_experience,engagement_barrier,scoring_complexity,provisional_testing,task_type,target,improve,scoring_type,stratum
10087,120816,malpt,Y,5,52.43,163.0,431.89,163.0,0,,,0,335.0,3362319506,3363523145,0.6384559181685339,0.6525989724992445,,0.11956521739130435,0.11956521739130435,,0.014925373134328358,,,,,,,0.36154408183146614,0.3474010275007555,184,184,184,0,0,17.0,66.0,177.0,177.0,74.0,370.0,444.0,276.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,132462,duffy76,Y,8,64.5,153.0,528.22,151.0,0,,,0,335.0,3362319506,3363523145,0.7854359473940574,0.7981565427621639,,0.17391304347826086,0.18478260869565216,,0.023880597014925373,,,,,,,0.21456405260594258,0.20184345723783614,184,184,184,0,0,25.0,62.0,177.0,177.0,120.0,265.0,385.0,229.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,153183,gmenhorn,Y,2,57.21,160.0,434.1,162.0,0,,,0,335.0,3362319506,3363523145,0.696663419386264,0.6559383499546692,,0.1358695652173913,0.125,,0.005970149253731343,,,,,,,0.30333658061373603,0.34406165004533085,184,184,184,0,0,14.0,14.0,177.0,177.0,97.0,14.0,111.0,93.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,153724,Vaduz,Y,11,80.97,48.0,652.75,45.0,0,,,0,335.0,3362319506,3363523145,0.9859961032635167,0.9863251737685101,,0.7445652173913043,0.7608695652173914,,0.03283582089552239,,,,,,,0.014003896736483279,0.013674826231489856,184,184,184,0,0,40.0,90.0,177.0,177.0,243.0,714.0,957.0,601.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,154648,dana,Y,1,70.98,138.0,566.85,141.0,0,,,0,335.0,3362319506,3363523145,0.8643448611787627,0.8565276518585676,,0.2554347826086957,0.2391304347826087,,0.0029850746268656717,,,,,,,0.13565513882123725,0.1434723481414324,184,184,184,0,0,8.0,8.0,177.0,177.0,41.0,0.0,41.0,41.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,251074,bmerry,Y,28,81.98,7.0,660.52,7.0,0,,,0,335.0,3362319506,3363523145,0.998295177788602,0.9980658809307948,,0.967391304347826,0.967391304347826,,0.08358208955223881,,,,,,,0.001704822211398005,0.0019341190692051535,184,184,184,0,0,14.0,110.0,177.0,177.0,67.0,1132.0,1199.0,505.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,260056,generator,Y,1,64.97,152.0,514.38,155.0,0,,,0,335.0,3362319506,3363523145,0.7911592791037505,0.7772438803263826,,0.1793478260869565,0.16304347826086957,,0.0029850746268656717,,,,,,,0.2088407208962495,0.22275611967361741,184,184,184,0,0,3.0,3.0,177.0,177.0,15.0,0.0,15.0,15.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,274023,venco,Y,14,82.01,5.0,660.83,5.0,0,,,0,335.0,3362319506,3363523145,0.9986604968339016,0.9985343003928681,,0.9782608695652174,0.9782608695652174,,0.041791044776119404,,,,,,,0.0013395031660984325,0.0014656996071319428,184,184,184,0,0,107.0,417.0,177.0,177.0,882.0,4504.0,5386.0,2818.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,274259,TrekkyLeaper,Y,2,73.98,133.0,594.59,132.0,0,,,0,335.0,3362319506,3363523145,0.900876765708719,0.898443638561499,,0.2826086956521739,0.28804347826086957,,0.005970149253731343,,,,,,,0.099123234291281,0.101556361438501,184,184,184,0,0,21.0,23.0,177.0,177.0,144.0,29.0,173.0,159.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
10087,274320,EnoOn,Y,3,80.01,75.0,644.45,77.0,0,,,0,335.0,3362319506,3363523145,0.9743058938139308,0.9737836204291328,,0.5978260869565217,0.5869565217391305,,0.008955223880597015,,,,,,,0.025694106186069154,0.0262163795708672,184,184,184,0,0,15.0,28.0,177.0,177.0,81.0,109.0,190.0,166.0,179.0,True,194,0.9797979797979798,3.448453608247423,2.0,2.0,TC only,Optimization,Resource or Both,No,Absolute,0.0
