problem_id,round_id,link,num_contestants,contestant_registrant_ratio,num_rounds,first_submission_time,last_submission_time,experience,engagement_barrier,scoring_complexity,prize_pool,prize_number,average_experience,duration,machine_learning,improve,target,task_type,submission_type,scoring_type,provisional_testing,system_vs_provisional,prize_nonmonetary,prize_threshold,stratum,mean_submit_num,median_submit_num,coeff_var_num_submissions,gini_num_submissions,coeff_var_sum_code_lines,gini_sum_code_lines,coeff_var_prov,coeff_var_fin,coeff_var_firstcomp,coeff_var_lastcomp,gini_prov,gini_fin,gini_firstcomp,gini_lastcomp,corr_old_prov_rank,corr_old_fin_rank,corr_old_new_rating,corr_old_prov_score,mean_rating_newcomers,median_rating_newcomers,prop_newcomers,mean_old_rating,median_old_rating,gini_old_rating,coeff_var_old_rating
6595,10087,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10087&pm=6595,194,0.9797979797979798,1,3362319506,3363523145,669,2.0,2.0,0.0,0.0,3.448453608247423,335.0,No,No,Resource or Both,Optimization,Code,Absolute,TC only,Similar,No,No,0.0,7.782608695652174,6.0,0.9073460212510653,0.4576147680349769,1.1112695110045998,0.5120778445008765,0.29518134507335586,0.292919242656544,0.9031340454194038,0.924500206383389,0.1195115073198485,0.11912947743097735,0.46105581698802034,0.44234100899684115,,,,,,,1.0,,,,
6058,9881,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9881&pm=6058,251,0.9543726235741444,1,3347802057,3349011491,292,2.0,2.0,0.0,0.0,1.1633466135458168,336.0,No,No,Resource or Both,Optimization,Code,Relative,TC only,Similar,No,No,0.0,9.565737051792828,6.0,1.0147073522351953,0.507955682476259,1.130348426475561,0.5253403345300938,0.9626342620345144,0.9626342620345144,0.7667639309421135,0.7647396482982812,0.5330778237488112,0.5330778237488112,0.36504132805445566,0.3791076182187687,,,,,,,1.0,,,,
6377,10015,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10015&pm=6377,164,1.0,1,3356265862,3356870305,372,2.0,2.0,0.0,0.0,2.268292682926829,168.0,No,No,Quality,Strategy,Code,Absolute,TC only,Similar,No,No,1.0,4.713286713286713,3.0,0.942676059795519,0.44888049635824123,1.5695090543380654,0.6102155729014502,0.3357882668818176,0.3357882668818176,1.9966984142334299,1.2340440949170757,0.16911996648912542,0.16911996648912542,0.6330247080693776,0.5499110874010847,,,,,1271.6433566433566,1250.0,1.0,,,,
6550,10088,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10088&pm=6550,167,0.9709302325581396,1,3364136300,3364747110,447,1.5,1.5,0.0,0.0,2.6766467065868262,170.0,No,No,Quality,Strategy,Code,Relative,TC only,Similar,No,No,1.0,3.828767123287671,3.0,0.8301072955689064,0.433320263680251,1.0480826865933537,0.5103593516390149,0.5629268523879004,0.5507338134452123,1.106641490968209,0.9593824176045049,0.3108237661371135,0.30430003958500296,0.5236925204421493,0.4883725995571204,0.5091793330357479,0.5088778212631717,0.8945046155775113,0.5091793330357479,1202.0684931506848,1203.0,0.5,1296.7945205479452,1272.0,0.13129997924932346,0.2369579267603925
8176,10502,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10502&pm=8176,83,1.0,1,3398001988,3399206374,687,2.0,1.0,0.0,0.0,8.27710843373494,335.0,No,No,Quality,Strategy,Code,Absolute,Shared,Similar,No,No,2.0,10.320987654320987,9.0,0.777361068353856,0.41015417331206816,,,0.2949545414542063,0.28291742359416233,1.0554255742946388,0.7588900724390284,0.14859546950163283,0.13913887390816904,0.49123315868263473,0.3957321960155713,0.50336517843766,0.5053413737540166,0.9113530240089663,0.50336517843766,,,0.0,1581.0864197530864,1551.0,0.09963996750183257,0.1824309685519093
13956,16492,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16492&pm=13956,73,1.0,1,3648476754,3649683559,1050,2.0,1.5,0.0,0.0,14.383561643835616,336.0,No,No,Quality,Strategy,Code,Relative,Shared,Similar,No,No,2.0,6.567164179104478,5.0,0.8573881378834329,0.43263229308005435,,,0.29512002086830763,0.29775374785154435,0.8654065466277849,0.7723508441507083,0.1382706428303948,0.14194409707054845,0.4397948516921468,0.3997473877597887,0.6945422724682982,0.6851507973642402,0.9603210179131431,0.6945422724682982,1205.4,1115.0,0.22388059701492538,1369.6923076923076,1361.5,0.18639082331798273,0.335332783482267
10014,13565,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=13565&pm=10014,89,0.4238095238095238,1,3429468219,3430051118,505,2.0,1.0,0.0,0.0,5.674157303370786,162.0,No,No,Quality,Strategy,Code,Absolute,Shared,Similar,No,No,3.0,3.3376623376623376,3.0,0.7235371954794542,0.371418464803679,0.7293741599174327,0.3734788246208477,0.7625785822765626,0.7478768997374665,0.5753982782683922,0.523810782904199,0.41266896368937167,0.40777462176723556,0.3114073215493094,0.2915868861621893,0.6948192811540919,0.661737741136936,0.940892859714838,0.6948192811540919,1088.235294117647,1069.0,0.22077922077922077,1178.9666666666667,1137.0,0.14669578821378415,0.2738267312142996
8472,12198,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12198&pm=8472,55,0.3618421052631579,1,3416186332,3416745482,399,2.0,2.0,0.0,0.0,7.254545454545455,156.0,No,No,Quality,Strategy,Code,Relative,Shared,Similar,No,No,3.0,3.8157894736842106,3.0,0.6943197332788683,0.3776769509981852,0.4434417236290569,0.24519306748143066,0.8756373482360327,0.8756678912875027,0.43518111654876523,0.3876574622338347,0.48483955319191363,0.48486363932038234,0.24371917609515514,0.21595537815986077,0.7362795534068848,0.7359096541650351,0.9589375779560629,0.7362795534068848,1310.4545454545455,1279.0,0.2894736842105263,1586.0,1514.0,0.1559513368863702,0.2830066373192116
8604,12200,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=12200&pm=8604,57,0.1775700934579439,1,3418602550,3419164469,404,2.0,2.0,0.0,0.0,7.087719298245614,157.0,No,No,Quality,Strategy,Code,Relative,Shared,Similar,No,No,3.0,3.8043478260869565,3.0,0.9446935459140227,0.4525465838509316,0.6496596081885697,0.33706099975468273,1.0191493451117388,1.0134701862975606,0.5364850185656089,0.5111994142305332,0.5517368292335363,0.5487038460184688,0.2782149691457566,0.27511230335867465,0.7908881265633594,0.795277994652595,0.9805458426990556,0.7908881265633594,1089.2222222222222,901.0,0.1956521739130435,1504.1351351351352,1335.0,0.19402562499969656,0.3457951560485643
8671,11136,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=11136&pm=8671,146,0.4818481848184818,1,3413124271,3414329897,736,2.0,1.0,0.0,0.0,5.041095890410959,335.0,No,No,Quality,Strategy,Code,Absolute,Shared,Similar,No,No,4.0,6.62406015037594,4.0,0.9476340766841169,0.48545313340103946,1.2443617255160966,0.5279398963668145,0.35296553791489443,0.35081045503341596,1.3180826178280751,0.9041927840380148,0.17688507247887275,0.17553925907542245,0.42624624172102266,0.3850498377358471,0.4162770514394074,0.43233141909536027,0.9030799542756515,0.4162770514394074,1151.6052631578948,1104.0,0.2857142857142857,1255.6105263157895,1223.0,0.11971459293842113,0.21249722828901504
